"member_state","url","search","hits"
"Chad","http://www.un.org/depts/dhl/unms/chad.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Chad",801
"Chile","http://www.un.org/depts/dhl/unms/chile.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Chile",3037
"China","http://www.un.org/depts/dhl/unms/china.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=China",2967
"Colombia","http://www.un.org/depts/dhl/unms/colombia.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Colombia",2875
"Comoros","http://www.un.org/depts/dhl/unms/comoros.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Comoros",1149
"Congo, Republic of the...","http://www.un.org/depts/dhl/unms/republicofthecongo.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Congo",1957
"Costa Rica","http://www.un.org/depts/dhl/unms/costarica.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Costa+Rica",3523
"Côte d'Ivoire","http://www.un.org/depts/dhl/unms/cotedivoire.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.AW&term=%22Cote+d%27Ivoire%22+OR+%22Ivory+Coast%22&index=.TW&term=%22draft+resolution%22",1495
"Croatia","http://www.un.org/depts/dhl/unms/croatia.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Croatia",1941
"Cuba","http://www.un.org/depts/dhl/unms/cuba.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Cuba",3908
"Cyprus","http://www.un.org/depts/dhl/unms/cyprus.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Cyprus",3013
"Czech Republic","http://www.un.org/depts/dhl/unms/czechrepublic.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.AW&term=%22Czech+Republic%22+OR+Czechoslovakia&index=.TW&term=%22draft+resolution%22",3054
"Democratic People's Republic of Korea","http://www.un.org/depts/dhl/unms/democraticpeoplesrepublicofkorea.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=%22Democratic+People%27s+Republic+of+Korea%22",539
"Democratic Republic of the Congo","http://www.un.org/depts/dhl/unms/democraticrepublicofthecongo.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&ri=&index=.AW&term=%22Democratic+Republic+of+the+Congo%22+OR+Zaire+OR+Leopoldville&matchopt=0%7C0&oper=and&x=15&y=10&aspect=power&index=.TW&term=%22draft+resolution%22&matchopt=0%7C0&oper=and&index=.TN&term=&matchopt=0%7C0&oper=and&index=.AW&term=&matchopt=0%7C0&ultype=&uloper=%3D&ullimit=&ultype=&uloper=%3D&ullimit=&sort=",1476
"Denmark","http://www.un.org/depts/dhl/unms/denmark.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Denmark",3949
"Djibouti","http://www.un.org/depts/dhl/unms/djibouti.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Djibouti",1626
"Dominica","http://www.un.org/depts/dhl/unms/dominica.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Dominica",279
"Dominican Republic","http://www.un.org/depts/dhl/unms/dominicanrepublic.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Dominican+Republic",1624
"Ecuador","http://www.un.org/depts/dhl/unms/ecuador.shtml","http://unbisnet.un.org:8080/ipac20/ipac.jsp?&menu=search&aspect=power&npp=50&ipp=20&spp=20&profile=bib&index=.TW&term=%22draft+resolution%22&index=.AW&term=Ecuador",2831
